,Ticker,Year,Average Weighted Minute Movement
0,AAPL,2014,0.001594085472491874
1,AAPL,2015,0.0015265567253215262
2,AAPL,2016,0.001113400538859447
3,AAPL,2017,0.0012297475894511396
4,AAPL,2018,0.0024426906755988863
5,AAPL,2019,0.002282102310807908
6,AAPL,2020,0.0070486474474524856
7,AAPL,2021,0.007368541511035713
8,AAPL,2022,0.01081152333462125
9,AAPL,2023,0.007373436404497196
10,AAPL,2024,0.00944190356879566
11,ADBE,2014,0.0032158819282222524
12,ADBE,2015,0.0040857757549728375
13,ADBE,2016,0.00455820062658289
14,ADBE,2017,0.0056381659703084695
15,ADBE,2018,0.016197774475764808
16,ADBE,2019,0.013953801466771436
17,ADBE,2020,0.032051484635792764
18,ADBE,2021,0.030820002728572066
19,ADBE,2022,0.034594028857526625
20,ADBE,2023,0.02865579395783253
21,ADBE,2024,0.03062231178838845
22,ADP,2014,0.002775021561716488
23,ADP,2015,0.0033359787645600024
24,ADP,2016,0.002983007714376733
25,ADP,2017,0.003785167089679144
26,ADP,2018,0.006432219308612904
27,ADP,2019,0.006081909331840667
28,ADP,2020,0.010206748905957042
29,ADP,2021,0.008431929206770515
30,ADP,2022,0.013119726154726048
31,ADP,2023,0.009597743264222757
32,ADP,2024,0.00942261595185179
33,ADSK,2014,0.002801487483299893
34,ADSK,2015,0.003155677610652739
35,ADSK,2016,0.004210012115304627
36,ADSK,2017,0.005550821210600307
37,ADSK,2018,0.010226478307772516
38,ADSK,2019,0.00950895425115701
39,ADSK,2020,0.019192154689969366
40,ADSK,2021,0.019080283693244507
41,ADSK,2022,0.019205128572997672
42,ADSK,2023,0.013065437356019631
43,ADSK,2024,0.012880572492846663
44,AMAT,2014,0.0013804791484419425
45,AMAT,2015,0.0011830484571134748
46,AMAT,2016,0.001349206178422182
47,AMAT,2017,0.002529165876059065
48,AMAT,2018,0.0036060885251000705
49,AMAT,2019,0.0028820713991841314
50,AMAT,2020,0.005267051912506651
51,AMAT,2021,0.01082722691437749
52,AMAT,2022,0.011354786339667373
53,AMAT,2023,0.00906758782802484
54,AMAT,2024,0.015021135625841436
55,AMD,2014,0.00023490479408560752
56,AMD,2015,0.00025610502386267807
57,AMD,2016,0.0006905779297098572
58,AMD,2017,0.0012949228846925748
59,AMD,2018,0.002404433644113824
60,AMD,2019,0.0027787950886038197
61,AMD,2020,0.007063342170100619
62,AMD,2021,0.009539274961714538
63,AMD,2022,0.011606395104552742
64,AMD,2023,0.009849949998121995
65,AMD,2024,0.01606825989150208
66,AMGN,2014,0.01035070300989648
67,AMGN,2015,0.009952177980055788
68,AMGN,2016,0.007725275402201062
69,AMGN,2017,0.006520380629425407
70,AMGN,2018,0.010320667232163093
71,AMGN,2019,0.008991657236896496
72,AMGN,2020,0.016036585692493364
73,AMGN,2021,0.011285610765667527
74,AMGN,2022,0.012429053411504224
